"<HEADER software/>"
EwEVersion,"6.7.0.19540 (compiled 04/04/1933)"
Date,"06/12/2026 10:50:48"
"<HEADER ecopath/>"
ModelName,"Anchovy Bay"
ModelSource,AnchovyBay.eiixml
"<HEADER ecosim/>"
EcosimScenario,"New Ecosim scenario"
TimeSeries,-
StartYear,2000
"<HEADER ecospace/>"
EcospaceScenario,BayOfAnchovies
MapRows,20
MapCols,20
MapCellLength,20
MapCellSize,0.17996463
MapTopLeftLat,0
MapTopLeftLon,0
NoActiveCells,313
EcoSpaceTimeStepLength,0.08333300219773374
CoordinateSystemWKT,"GEOGCS[WGS 84, DATUM[WGS_1984, SPHEROID[WGS 84,6378137,298.257223563, AUTHORITY[EPSG,7030]], AUTHORITY[EPSG,6326]], PRIMEM[Greenwich,0, AUTHORITY[EPSG,8901]], UNIT[degree,0.01745329251994328, AUTHORITY[EPSG,9122]], AUTHORITY[EPSG,4326]]"
ExternalDataConfigFile,AnchovyBay_extdata.xml
"<HEADER end/>"
Variable,EcospaceMapEffort
Fleet name,Shrimpers

Step,61
Year,5.083313
-9999,-9999,1.2424099445343018,1.2572784423828125,1.279523491859436,1.2799791097640991,1.2453298568725586,1.163028597831726,1.0251386165618896,0.8491834998130798,0.689664900302887,0.6086493730545044,0.6256924271583557,0.7441715002059937,0,1.0928179025650024,1.2090585231781006,1.2654021978378296,1.2804903984069824,-9999
-9999,-9999,1.27432382106781,1.2911463975906372,1.301013469696045,1.2759597301483154,1.1932682991027832,1.0471030473709106,0.8535376787185669,0.650839626789093,0.4969053864479065,0.41710421442985535,0.4222119152545929,0.5127859115600586,0.6794012188911438,0.8750267624855042,1.0430140495300293,1.156994104385376,1.203877568244934,-9999
-9999,1.2890774011611938,1.312371850013733,1.3197152614593506,1.3019779920578003,1.2189794778823853,1.0625933408737183,0.853117823600769,0.6387404799461365,0.4621160626411438,0.3475329577922821,0.29036206007003784,0.28723645210266113,0.3440856635570526,0.4619266390800476,0,0.8123547434806824,0.9541541934013367,1.024672269821167,-9999
-9999,1.3220406770706177,1.334958553314209,1.3222116231918335,1.245690941810608,1.0777994394302368,0.8473722338676453,0.6077882647514343,0.4165053069591522,0.2925121784210205,0.22537943720817566,0.1930752843618393,0.19140416383743286,0.22115185856819153,0.29283028841018677,0,0.5571892857551575,0.6926540732383728,0.7647821307182312,-9999
-9999,1.3473422527313232,1.337715744972229,1.2760848999023438,1.1268945932388306,0.8938312530517578,0.6253620982170105,0.39277657866477966,0.24418401718139648,0.16541369259357452,0.12804213166236877,0.11270058155059814,0.11227919906377792,0.12749099731445312,0.1644095629453659,0.2321735918521881,0.3259681761264801,0.4279952347278595,0.48407691717147827,-9999
-9999,1.3248502016067505,1.2865039110183716,1.1599122285842896,0.9535512328147888,0.6987019777297974,0.44283056259155273,0.24923838675022125,0.14070039987564087,0.08819348365068436,0.0654483214020729,0.05615584924817085,0,0,0.07590069621801376,0,0.15960733592510223,0.21917562186717987,0.25246745347976685,-9999
-9999,1.2192556858062744,1.1408061981201172,0.9532877802848816,0.7290898561477661,0.4994257986545563,0.2982828915119171,0.15663446485996246,0.08075044304132462,0.04730510339140892,0.02941758744418621,0.023217061534523964,0,0,0,0.03772681951522827,0.06332796066999435,0.09347137808799744,0.11271528899669647,-9999
-9999,1.0198308229446411,0.9124892950057983,0.6954647898674011,0.48445650935173035,0.3112725019454956,0.17996197938919067,0.09286251664161682,0.04376978427171707,0.025003202259540558,0.01651185378432274,0.012790604494512081,0,0,0,0.014049655757844448,0.020234866067767143,0.03266972675919533,0.04245956614613533,-9999
-9999,0.806678295135498,0.6920268535614014,0.47517600655555725,0.29426875710487366,0.1753842830657959,0.09850549697875977,0.04897090792655945,0.026420917361974716,0.016469748690724373,0.01192830316722393,0.009563668631017208,0.008331223390996456,0.007840852253139019,0,0,0.009398522786796093,0.013520578853785992,-9999,-9999
-9999,0.6582102179527283,0.5427581667900085,0.34085333347320557,0.19016829133033752,0.10143963247537613,0.052438024431467056,0.028866520151495934,0.01809755526483059,0.012805200181901455,0,0,0,0.009558824822306633,0,0,0.012651088647544384,0,-9999,-9999
